"","date","pageviews","BounceRate","AvgSessionDuration"
"1",2017-02-01,1053,0.986193293885602,137.414201183432
"2",2017-02-02,1536,1.5406162464986,204.481792717087
"3",2017-02-03,1155,2.13903743315508,228.262032085561
"4",2017-02-04,623,1.34680134680135,388.713804713805
"5",2017-02-05,362,2.22222222222222,223.88
"6",2017-02-06,1228,2.59146341463415,157.978658536585
"7",2017-02-07,1181,2.43445692883895,189.056179775281
"8",2017-02-08,1062,1.50375939849624,221.718045112782
"9",2017-02-09,1457,1.69014084507042,161.266197183099
"10",2017-02-10,1162,2.45183887915937,257.103327495622
"11",2017-02-11,606,1.50602409638554,171.536144578313
"12",2017-02-12,498,1.55038759689922,250.77519379845
"13",2017-02-13,1499,1.52354570637119,206.234072022161
"14",2017-02-14,1460,2.10378681626928,184.074333800842
"15",2017-02-15,1324,1.20663650075415,180.188536953243
"16",2017-02-16,1205,1.36518771331058,253.023890784983
"17",2017-02-17,1035,2.16535433070866,178.748031496063
"18",2017-02-18,743,1.82767624020888,334.861618798956
"19",2017-02-19,551,2.18978102189781,231.193430656934
"20",2017-02-20,1534,0.823045267489712,172.271604938272
"21",2017-02-21,1363,1.28205128205128,193.081730769231
"22",2017-02-22,1577,1.92307692307692,164.475274725275
"23",2017-02-23,1522,1.65413533834586,184.406015037594
"24",2017-02-24,1337,2.63565891472868,181.062015503876
"25",2017-02-25,760,2.4330900243309,215.839416058394
"26",2017-02-26,689,1.41242937853107,168.590395480226
"27",2017-02-27,1835,1.00334448160535,159.147157190635
"28",2017-02-28,1449,1.13636363636364,157.910511363636
